hour,deposit_count,total_amount
0,28,78883.82460275
1,33,42243.80442935
2,17,502.18907432000003
3,21,45509.022518729995
4,17,216422.52867457
5,20,222245.09900784
6,39,2965272.81971574
7,67,1252926.07655136
8,51,2314143.68068974
9,67,4613537.27535722
10,50,1204684.66944047
11,123,6899667.0104612
12,139,8781662.06774047
13,44,872306.16805922
14,60,364947.80033667
15,162,6657647.17129896
16,135,4496001.39244419
17,143,4967763.05774117
18,78,2740936.44323842
19,87,2712505.19521899
20,80,3676664.14713127
21,59,1367470.93254839
22,46,218313.35447643002
23,35,462098.76457768
