user_id,total_deposited,deposit_count,avg_deposit,first_deposit_time,last_deposit_time,unique_deposit_assets,total_withdrawn,withdrawal_count,avg_withdrawal,first_withdrawal_time,last_withdrawal_time,unique_withdrawal_assets,total_trade_volume_usd,trade_count,avg_trade_usd,unique_pairs_traded,first_trade_time,last_trade_time,deposit_withdrawal_ratio,withdrawal_deposit_ratio,hours_deposit_to_withdrawal,trade_to_deposit_ratio,total_unique_assets,activity_frequency,is_suspicious,low_volume_trader,kenya_trader,campaign_target
1001-11001-1521-1561-154,100150.00209872,3.0,33383.33403290666,2025-01-17 17:38:26.189682+00:00,2025-01-18 04:22:04.805973+00:00,2.0,431339.0,20.0,21566.95,2025-01-17 14:56:53.191137+00:00,2025-01-18 03:00:30.301178+00:00,1.0,18.32274,3,6.10758,1,2024-11-30 19:02:07.953535+00:00,2024-12-03 04:30:29.849758+00:00,0.23218397153681905,4.306929515336604,-2.6924995958333335,0.27442945006539615,3.0,26.0,0,True,0,0
1001-11001-1521-1571-155,0.00026701,1.0,0.00026701,2025-03-12 15:08:57.744625+00:00,2025-03-12 15:08:57.744625+00:00,1.0,32888.0,1.0,32888.0,2025-03-12 15:31:47.549399+00:00,2025-03-12 15:31:47.549399+00:00,1.0,47.80214,1,47.80214,1,2025-03-11 14:11:15.735595+00:00,2025-03-11 14:11:15.735595+00:00,8.118766723424957e-09,123171416.80086888,0.3805013261111111,268541290.5883675,2.0,3.0,0,False,0,0
1001-11001-1521-1971-1102,0.00024234,1.0,0.00024234,2025-01-18 06:42:12.823378+00:00,2025-01-18 06:42:12.823378+00:00,1.0,40300.0,1.0,40300.0,2025-01-18 07:16:01.131864+00:00,2025-01-18 07:16:01.131864+00:00,1.0,46.67286666666667,1,46.67286666666667,1,2024-12-09 12:29:53.165034+00:00,2024-12-09 12:29:53.165034+00:00,6.013399503722084e-09,166295287.61244532,0.5634190238888889,288888751.34109104,2.0,3.0,0,False,0,0
1001-11001-1521-1971-156,0.0,0.0,0.0,0,0,0.0,1983.0,1.0,1983.0,2025-04-01 12:43:29.495136+00:00,2025-04-01 12:43:29.495136+00:00,1.0,2.22308,1,2.22308,1,2024-12-05 18:25:00.291218+00:00,2024-12-05 18:25:00.291218+00:00,0.0,0.0,999.0,0.0,1.0,2.0,0,False,0,0
1001-11001-1521-1981-156,0.17213977,7.0,0.024591395714285712,2025-01-17 15:25:22.825389+00:00,2025-01-18 08:19:49.313903+00:00,1.0,93089.0,6.0,15514.833333333334,2025-01-17 15:23:24.859884+00:00,2025-01-18 08:38:58.470911+00:00,1.0,4.94016,1,4.94016,1,2024-12-07 07:37:54.783037+00:00,2024-12-07 07:37:54.783037+00:00,1.84919560850369e-06,540775.673163732,-0.03276819583333333,43047.80934702073,2.0,14.0,0,False,0,0
1001-11001-1521-1981-157,0.00111609,2.0,0.000558045,2025-01-17 16:31:37.196442+00:00,2025-01-18 03:23:57.853288+00:00,1.0,84006.0,2.0,42003.0,2025-01-17 16:47:59.117039+00:00,2025-01-18 08:40:01.876395+00:00,1.0,437.3505466666666,1,437.3505466666666,1,2024-11-30 04:15:36.188366+00:00,2024-11-30 04:15:36.188366+00:00,1.3285836725948146e-08,75268123.53842433,0.2727557213888889,587789353.905151,2.0,5.0,0,False,0,0
1001-11011-1521-1561-148,0.0003161,3.0,0.00010536666666666666,2025-01-17 17:54:50.985122+00:00,2025-01-18 07:13:18.549155+00:00,1.0,52941.0,3.0,17647.0,2025-01-17 19:47:16.420404+00:00,2025-01-18 08:24:16.434039+00:00,1.0,91.08577333333334,5,18.217154666666666,1,2024-11-28 16:15:52.658312+00:00,2024-12-03 03:05:59.972849+00:00,5.970797680436712e-09,167481809.55393863,1.8737320227777778,432232394.8117685,2.0,11.0,0,True,0,0
1001-11011-1521-1561-156,0.00017098,1.0,0.00017098,2025-01-18 01:57:57.690537+00:00,2025-01-18 01:57:57.690537+00:00,1.0,28627.0,1.0,28627.0,2025-01-18 02:14:30.090495+00:00,2025-01-18 02:14:30.090495+00:00,1.0,3.6441266666666663,1,3.6441266666666663,1,2024-12-11 11:14:39.410328+00:00,2024-12-11 11:14:39.410328+00:00,5.9726831313096025e-09,167428939.0571997,0.275666655,31969762.545326937,2.0,3.0,0,False,0,0
1001-11011-1521-1571-1101,0.10509625,3.0,0.03503208333333333,2025-01-18 00:00:30.160167+00:00,2025-01-18 05:30:35.401317+00:00,1.0,40366.0,6.0,6727.666666666667,2025-01-17 15:47:21.635702+00:00,2025-01-18 04:48:19.456551+00:00,1.0,3.7148,1,3.7148,1,2024-12-03 01:11:50.631292+00:00,2024-12-03 01:11:50.631292+00:00,2.603583461328841e-06,384086.01638973795,-8.219034573611111,53019.96978959763,2.0,10.0,0,False,0,0
1001-11011-1521-1571-148,0.0,0.0,0.0,0,0,0.0,35408.0,1.0,35408.0,2025-01-18 00:00:08.132816+00:00,2025-01-18 00:00:08.132816+00:00,1.0,1.2355734806666665,1,1.2355734806666665,1,2024-12-01 16:19:54.090971+00:00,2024-12-01 16:19:54.090971+00:00,0.0,0.0,999.0,0.0,1.0,2.0,0,False,0,0
